Date,Open,High,Low,Close,Volume,next_close_is_high,next_close_is_low
3-Dec-07,480,490.5,475.25,487.75,36171297,0,1
30-Nov-07,481.75,485,476,479,30520708,1,0
29-Nov-07,487.25,487.25,475.75,479.75,20398495,0,1
28-Nov-07,464,486.5,462.5,482.75,40867223,0,1
27-Nov-07,460.25,470.5,451.5,461.25,28098615,1,0
26-Nov-07,474.5,476.5,460.5,465,21751023,0,1
23-Nov-07,473.5,479.75,468.25,473,20496772,0,1
22-Nov-07,465.75,473,461,472.5,21975948,1,0
21-Nov-07,475,476.75,458,463,32329585,1,0
20-Nov-07,470,480,465,478.75,28921884,0,1
19-Nov-07,484,485.5,463,469.25,27630323,1,0
16-Nov-07,482,487.75,479.5,484.5,24244681,0,1
15-Nov-07,493,493.75,476,481.5,30948051,1,0
14-Nov-07,488,493.5,484.25,492,44839091,0,1
13-Nov-07,465.25,486,465.25,482,29510731,1,0
12-Nov-07,462.5,470.25,460.75,470,20852745,1,0
9-Nov-07,472,475.25,462.25,464.75,23220312,1,0
8-Nov-07,460,477.25,459,470.25,27959828,0,1
7-Nov-07,478.75,478.75,467.25,468.5,18804317,1,0
6-Nov-07,483,483,472,476.5,26237195,0,1
5-Nov-07,481,482.75,476.25,479.75,24840323,0,1
2-Nov-07,489,489,478,487,44466299,0,1
1-Nov-07,485.25,494.25,485,491,34742003,0,1
31-Oct-07,477.5,489.75,476,488,74443169,1,0
30-Oct-07,470.75,473.25,467,471.75,28512705,1,0
29-Oct-07,466.5,471.25,460.5,470.5,23294620,1,0
26-Oct-07,462.75,465.5,458.25,464.75,16652458,1,0
25-Oct-07,460,466,455.75,463.5,30402905,1,0
24-Oct-07,454.5,460.5,452.25,456,27671624,1,0
23-Oct-07,467,468,452.75,453.75,42188611,1,0
22-Oct-07,458,465.5,455.25,464,30795199,0,1
19-Oct-07,473,473.75,462.75,464,29649450,0,0
18-Oct-07,475,477,468,473.25,45996410,0,1
17-Oct-07,463.75,477,463,475,41877593,0,1
16-Oct-07,469,469.25,463.75,466.25,29744917,1,0
15-Oct-07,475,476.75,468.25,469.25,21535561,0,1
12-Oct-07,467.5,475,465.5,475,37478939,0,1
11-Oct-07,464,472,462.75,469.75,28377667,1,0
10-Oct-07,462,466.25,460.75,464,22631177,1,0
9-Oct-07,462.5,466.5,461.5,465.5,27070736,0,1
8-Oct-07,469,469,462.5,462.5,19314695,1,0
5-Oct-07,464.5,468.25,461.75,468,40496671,0,1
4-Oct-07,460.5,467,457,463,47803182,1,0
3-Oct-07,465.25,467.5,460.75,463.5,39513830,0,1
2-Oct-07,447,464.5,445.25,463,109588212,1,0
1-Oct-07,437.5,441.5,433,435.5,41051882,1,0
28-Sep-07,440,443.5,432.25,439.25,34591676,0,1
27-Sep-07,441,443.75,435.75,438.75,30836460,1,0
26-Sep-07,439.25,446,436,436.5,30145143,1,0
25-Sep-07,444,447.75,436.5,438,57252335,0,1
24-Sep-07,445.25,450.75,443,447.25,40563211,0,1
21-Sep-07,433.75,444,431,442.25,53975134,1,0
20-Sep-07,432.75,439.75,432.5,434.5,31281386,1,0
19-Sep-07,438,442,434.25,436,50255625,0,1
18-Sep-07,419,432,418,429.75,45432291,1,0
17-Sep-07,433.5,434.5,419.25,419.25,50864661,1,0
14-Sep-07,440.75,443.75,432.25,435.5,67993625,0,1
13-Sep-07,437,447.5,434,445,38606345,0,1
12-Sep-07,432.25,437.75,429.75,437,55657732,1,0
11-Sep-07,423,434.5,419.5,433.5,61457021,1,0
10-Sep-07,427.5,429.5,413.5,415.25,41938850,1,0
7-Sep-07,432,435,427,427.75,42961545,0,1
6-Sep-07,432,433.5,424.5,431.5,23975290,0,1
5-Sep-07,436.75,436.75,428.25,428.25,38377348,1,0
4-Sep-07,428.75,437.25,425.5,437,50080439,0,1
3-Sep-07,425.5,427.5,424,426.75,28852908,1,0
31-Aug-07,422.75,428.75,419.5,425,48992163,1,0
30-Aug-07,415,425,413.25,422.75,37247405,1,0
29-Aug-07,411,415,406.75,412,33263921,1,0
28-Aug-07,417.5,418.25,410.5,413.5,33431843,0,1
24-Aug-07,413.5,422.5,413.5,420,32355674,0,1
23-Aug-07,411.75,419,410.5,416,60900477,1,0
22-Aug-07,398.5,408,396.25,405,45084983,1,0
21-Aug-07,400.75,401.5,392,396.25,58723075,1,0
20-Aug-07,402.25,405.75,399.75,400.75,62217124,0,1
17-Aug-07,401.25,408.5,395.25,403.5,90292191,0,1
16-Aug-07,414,416.5,403.25,404,52637165,0,1
15-Aug-07,420,423.25,416.25,422,43801996,0,1
14-Aug-07,425.5,429.5,423,425.25,50415318,0,1
13-Aug-07,415,430,415,427.75,48151426,0,1
10-Aug-07,420,423.75,412.75,414,41027660,1,0
9-Aug-07,431.5,434.75,422.5,424.75,67853897,0,1
8-Aug-07,422,439,420.5,431.25,41413765,0,1
7-Aug-07,416.25,420,411.75,419.75,50506047,1,0
6-Aug-07,405.75,411.5,403.75,409.25,40938792,1,0
3-Aug-07,409.25,411.75,404,406.25,36667715,1,0
2-Aug-07,407.75,411,401,409.25,38893487,0,1
1-Aug-07,402,407.75,400.25,403.75,30001078,1,0
31-Jul-07,408,409.5,403.5,407.75,75903925,0,1
30-Jul-07,406,411,402,402.75,40624583,1,0
27-Jul-07,401,410.75,401,405,58187661,0,1
26-Jul-07,410,412.25,398.5,405.5,76039793,0,1
25-Jul-07,415.5,417,407.5,409.75,33938494,0,1
24-Jul-07,416,417.25,412,415.5,48176213,0,1
23-Jul-07,416,420,415.25,417.25,24005503,0,1
20-Jul-07,423,424.5,414,417.25,45472532,0,0
19-Jul-07,421,424,419.25,422.5,43526845,0,1
18-Jul-07,422.25,427,420,420.5,34584102,1,0
17-Jul-07,428.5,428.75,424.5,426,19552331,0,1
16-Jul-07,431.75,435.75,427,428,24629079,0,1
13-Jul-07,432.75,433.75,427.5,432,32219987,0,1
12-Jul-07,423,429.5,421,429.5,54102904,1,0
11-Jul-07,412,434,411.75,422.75,69403545,1,0
10-Jul-07,416,420.5,412.75,414,62717035,1,0
9-Jul-07,414,416,412,415,32624454,0,1
6-Jul-07,415.75,417.25,413.75,414.25,76183358,1,0
5-Jul-07,419.75,422,415.75,416.5,50094767,0,1
4-Jul-07,417.75,423.25,416.25,417.25,27530286,0,1
3-Jul-07,414.5,420.5,414.5,418.75,42173571,0,1
2-Jul-07,416,420,412.75,414,32852510,1,0
29-Jun-07,424,425.25,411.25,418.5,67859270,0,1
28-Jun-07,424.5,425.5,418.5,421.5,43409525,0,1
27-Jun-07,423,426,420.25,422.75,52239211,0,1
26-Jun-07,434,435,426.25,426.25,64288151,0,1
25-Jun-07,428,437.5,426.25,435.5,31974116,0,1
22-Jun-07,424.75,436.5,424.5,430.75,68292845,1,0
21-Jun-07,425.25,426.25,420.25,422,114064550,1,0
20-Jun-07,434,438,424.25,428,126806449,0,1
19-Jun-07,443.25,446,433.75,434.5,107830931,0,1
18-Jun-07,463,467.25,455.25,456.75,40064468,0,1
15-Jun-07,457,464,457,460.25,48258270,0,1
14-Jun-07,449,454.5,446.5,452.75,24542082,1,0
13-Jun-07,445.25,449,444,446,35243098,1,0
12-Jun-07,446.5,448.5,444.25,445.25,20332684,1,0
11-Jun-07,441,448.25,440,446.5,37026228,0,1
8-Jun-07,434.25,440.75,431.5,438.25,48853792,1,0
7-Jun-07,443.75,444.25,432.5,435.25,49367760,1,0
6-Jun-07,450,452,439.5,440,57676855,0,1
5-Jun-07,457,457,450,450,37958706,0,1
4-Jun-07,461.75,462,457.5,458,28887247,0,1
1-Jun-07,458,462.25,457.5,462.25,18030754,0,1
31-May-07,462.25,464,457.25,458.75,15697461,1,0
30-May-07,458.25,462.5,456.5,461.25,18109891,0,1
29-May-07,454.25,460.75,453.5,459.25,12839121,1,0
25-May-07,455.5,456.25,452.75,453.5,22883978,1,0
24-May-07,455,458.25,452,455.5,36835780,0,1
23-May-07,461.25,462,456.75,456.75,39920024,0,1
22-May-07,464.75,466,460.75,461.25,54323009,0,1
21-May-07,469,469.75,462,463.5,18021890,0,1
18-May-07,465.75,468.75,463.5,468,29305067,0,1
17-May-07,470.25,471.75,466.25,466.5,21897469,1,0
16-May-07,471,471,465,468,27055275,0,1
15-May-07,470,474.25,468.25,470.5,28933395,0,1
14-May-07,473,475.75,471,472.25,28343771,0,1
11-May-07,471,472.5,467,471.5,58445268,1,0
10-May-07,467.5,474.25,465.5,472,43913396,0,1
9-May-07,464.75,468.75,462.25,466,10734956,1,0
